category,code
水産・農林業,1301
水産・農林業,1332
水産・農林業,1333
水産・農林業,1375
水産・農林業,1376
水産・農林業,1377
水産・農林業,1379
水産・農林業,1380
水産・農林業,1381
水産・農林業,1382
水産・農林業,1383
水産・農林業,1384
建設業,1400
建設業,1401
建設業,1407
建設業,1414
建設業,1417
建設業,1418
建設業,1419
建設業,1420
建設業,1429
建設業,1430
建設業,1431
建設業,1432
建設業,1433
建設業,1434
建設業,1435
建設業,1436
建設業,1439
建設業,1440
建設業,1443
建設業,1445
建設業,1446
建設業,1447
建設業,1450
建設業,1451
建設業,1452
非鉄金属,1491
鉱業,1514
鉱業,1515
鉱業,1518
鉱業,1605
鉱業,1662
鉱業,1663
建設業,1711
建設業,1712
建設業,1716
サービス業,1717
建設業,1718
建設業,1719
建設業,1720
建設業,1721
建設業,1723
建設業,1724
建設業,1726
建設業,1730
建設業,1736
建設業,1739
建設業,1743
建設業,1757
建設業,1758
建設業,1762
建設業,1764
建設業,1766
建設業,1768
建設業,1770
建設業,1773
建設業,1775
建設業,1776
建設業,1780
建設業,1783
建設業,1786
建設業,1787
建設業,1788
建設業,1789
建設業,1793
建設業,1795
建設業,1798
建設業,1799
建設業,1801
建設業,1802
建設業,1803
建設業,1805
建設業,1807
建設業,1808
建設業,1810
建設業,1811
建設業,1812
建設業,1813
建設業,1814
建設業,1815
建設業,1820
建設業,1821
建設業,1822
建設業,1826
建設業,1827
建設業,1828
建設業,1833
建設業,1835
建設業,1840
建設業,1841
建設業,1844
建設業,1847
建設業,1848
建設業,1850
建設業,1852
建設業,1853
建設業,1860
建設業,1861
建設業,1866
建設業,1867
建設業,1870
建設業,1871
建設業,1873
建設業,1878
建設業,1879
建設業,1882
建設業,1884
建設業,1885
建設業,1887
建設業,1888
建設業,1890
建設業,1893
建設業,1897
建設業,1898
建設業,1899
建設業,1904
建設業,1905
機械,1909
建設業,1911
建設業,1914
建設業,1921
建設業,1925
建設業,1926
建設業,1928
建設業,1929
建設業,1930
建設業,1934
建設業,1938
建設業,1939
建設業,1941
建設業,1942
建設業,1944
建設業,1945
建設業,1946
建設業,1948
建設業,1949
建設業,1950
建設業,1951
建設業,1952
サービス業,1954
建設業,1959
建設業,1960
建設業,1961
建設業,1963
建設業,1964
建設業,1965
建設業,1966
建設業,1967
建設業,1968
建設業,1969
金属製品,1971
建設業,1972
情報・通信業,1973
建設業,1975
建設業,1976
建設業,1979
建設業,1980
建設業,1981
建設業,1982
建設業,1992
建設業,1994
建設業,1997
食料品,2001
食料品,2002
食料品,2003
食料品,2004
食料品,2009
食料品,2053
食料品,2055
食料品,2060
食料品,2107
食料品,2108
食料品,2109
食料品,2112
食料品,2114
食料品,2117
サービス業,2120
サービス業,2121
サービス業,2122
サービス業,2124
サービス業,2127
サービス業,2130
サービス業,2134
サービス業,2136
情報・通信業,2138
サービス業,2139
サービス業,2146
サービス業,2148
サービス業,2150
サービス業,2152
サービス業,2153
サービス業,2154
サービス業,2156
サービス業,2157
サービス業,2158
サービス業,2159
医薬品,2160
サービス業,2162
サービス業,2163
サービス業,2164
サービス業,2168
サービス業,2169
サービス業,2170
サービス業,2173
サービス業,2175
サービス業,2176
サービス業,2178
サービス業,2179
サービス業,2180
サービス業,2181
サービス業,2183
サービス業,2185
サービス業,2186
サービス業,2191
サービス業,2193
サービス業,2195
サービス業,2196
サービス業,2198
食料品,2201
食料品,2204
食料品,2206
食料品,2207
食料品,2208
食料品,2209
食料品,2211
食料品,2212
食料品,2215
食料品,2216
食料品,2217
食料品,2220
食料品,2221
食料品,2222
食料品,2224
食料品,2226
食料品,2229
食料品,2264
食料品,2266
